RECID,BIKETYPE,BIKEMAKE,BIKEMODEL,FIRSTYEAR,LASTYEAR,CAPACITY,OE_HANDLEBAR,OE_FCW,OE_RCW,FRONT_BRAKEPADS,REAR_BRAKEPADS,78_HANDLEBARS,TWINWALL,FATBAR,FATBAR36,GRIPS,CAM,OE_BARMOUNT,BARMOUNT28,BARMOUNT36,FCWGROUP,FCWCONV,RCWCONV,RCWGROUP,RCWGROUP_RANGE,TWINRING,OE_CHAIN,CHAINCONV,R1_CHAIN,R3_CHAIN,R4_CHAIN,RR4_CHAIN,CLIPON,RCWCARRIER,ACTIVE_HANDLECOMPARE
9159,1,APRILIA,Tuono 125,2004,2004,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9160,2,BETA,RE & RR 125 4T,2009,2014,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9161,5,BETA,ALP 125/200/349 4T,2005,2015,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9166,2,HONDA,CR 80R,1986,1995,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9167,2,HONDA,CR 80R,1996,2002,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9168,2,HONDA,CR 80RB,1996,2002,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9170,2,HONDA,CR 85RB,2003,2007,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9172,2,HONDA,CRF 150RB,2007,2009,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9173,2,HONDA,CRF 150R,2007,2009,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9174,2,HONDA,CR 125R,1987,1996,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9175,2,HONDA,CR 125R,1997,1997,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9176,2,HONDA,CR 125R,1998,1999,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9177,2,HONDA,CR 125R,2000,2001,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9178,2,HONDA,CR 125R,2002,2002,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9179,2,HONDA,CR 125R,2003,2003,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9180,2,HONDA,CR 125R,2004,2004,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9181,2,HONDA,CR 125R,2005,2007,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9182,2,HONDA,CR 250R,1984,1985,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9183,2,HONDA,CR 250R,1986,1986,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9184,2,HONDA,CR 250R,1987,1987,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9185,2,HONDA,CR 250R,1988,1989,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9186,2,HONDA,CR 250R,1990,1991,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9188,2,HONDA,CR 250R,1996,2001,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9189,2,HONDA,CR 250R,2002,2003,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9190,2,HONDA,CR 250R,2004,2004,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9191,2,HONDA,CR 250R,2004,2006,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9192,2,HONDA,CR 250R,2007,2008,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9193,2,HONDA,CRF 250R,2004,2006,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9194,2,HONDA,CRF 250X,2004,2016,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
